"cvegeo","anio","indicador","valor_indicador"
31005,2015,"pobreza_extrema",3.5
31006,2015,"pobreza_extrema",17.9
31007,2015,"pobreza_extrema",9.9
31008,2015,"pobreza_extrema",33
31009,2015,"pobreza_extrema",11.7
31010,2015,"pobreza_extrema",16.6
31011,2015,"pobreza_extrema",18.2
31012,2015,"pobreza_extrema",22.9
31013,2015,"pobreza_extrema",2
31014,2015,"pobreza_extrema",16.2
31015,2015,"pobreza_extrema",17
31016,2015,"pobreza_extrema",38.1
31017,2015,"pobreza_extrema",35.1
31018,2015,"pobreza_extrema",15.9
31019,2015,"pobreza_extrema",31.4
31020,2015,"pobreza_extrema",10.3
31021,2015,"pobreza_extrema",41.1
31022,2015,"pobreza_extrema",39
31023,2015,"pobreza_extrema",8.9
31024,2015,"pobreza_extrema",29.1
31025,2015,"pobreza_extrema",23.2
31026,2015,"pobreza_extrema",6.8
31027,2015,"pobreza_extrema",6.8
31028,2015,"pobreza_extrema",6.2
31029,2015,"pobreza_extrema",14.3
31030,2015,"pobreza_extrema",33.5
31031,2015,"pobreza_extrema",12.8
31032,2015,"pobreza_extrema",26
31033,2015,"pobreza_extrema",10.4
31034,2015,"pobreza_extrema",16.3
31035,2015,"pobreza_extrema",21.3
31036,2015,"pobreza_extrema",19
31037,2015,"pobreza_extrema",25.3
31038,2015,"pobreza_extrema",10.2
31039,2015,"pobreza_extrema",8.4
31040,2015,"pobreza_extrema",6.9
31041,2015,"pobreza_extrema",4.8
31042,2015,"pobreza_extrema",28.9
31043,2015,"pobreza_extrema",25.4
31044,2015,"pobreza_extrema",12.8
31045,2015,"pobreza_extrema",7.1
31046,2015,"pobreza_extrema",20.2
31047,2015,"pobreza_extrema",22.6
31048,2015,"pobreza_extrema",5.5
31049,2015,"pobreza_extrema",35.8
31050,2015,"pobreza_extrema",1.8
31051,2015,"pobreza_extrema",4.2
31052,2015,"pobreza_extrema",6.8
31053,2015,"pobreza_extrema",13.7
31054,2015,"pobreza_extrema",7
31055,2015,"pobreza_extrema",23.6
31056,2015,"pobreza_extrema",18.4
31057,2015,"pobreza_extrema",18.4
31058,2015,"pobreza_extrema",21.7
31059,2015,"pobreza_extrema",3
31060,2015,"pobreza_extrema",13.8
31061,2015,"pobreza_extrema",2.8
31062,2015,"pobreza_extrema",23.4
31063,2015,"pobreza_extrema",6.9
31064,2015,"pobreza_extrema",10
31065,2015,"pobreza_extrema",1.1
31066,2015,"pobreza_extrema",25.2
31067,2015,"pobreza_extrema",17.7
31068,2015,"pobreza_extrema",13.7
31069,2015,"pobreza_extrema",28.5
31070,2015,"pobreza_extrema",16
31071,2015,"pobreza_extrema",11
31072,2015,"pobreza_extrema",9
31073,2015,"pobreza_extrema",48
31074,2015,"pobreza_extrema",14.4
31075,2015,"pobreza_extrema",28.1
31076,2015,"pobreza_extrema",6.7
31077,2015,"pobreza_extrema",30.6
31078,2015,"pobreza_extrema",16.1
31079,2015,"pobreza_extrema",12.1
31080,2015,"pobreza_extrema",13.7
31081,2015,"pobreza_extrema",37.8
31082,2015,"pobreza_extrema",12
31083,2015,"pobreza_extrema",3.4
31084,2015,"pobreza_extrema",25.8
31085,2015,"pobreza_extrema",21.5
31086,2015,"pobreza_extrema",12.1
31087,2015,"pobreza_extrema",15.3
31088,2015,"pobreza_extrema",16.1
31089,2015,"pobreza_extrema",11.3
31090,2015,"pobreza_extrema",15.8
31091,2015,"pobreza_extrema",15.1
31092,2015,"pobreza_extrema",44.5
31093,2015,"pobreza_extrema",3.7
31094,2015,"pobreza_extrema",32.7
31095,2015,"pobreza_extrema",5.7
31096,2015,"pobreza_extrema",13.7
31097,2015,"pobreza_extrema",35.3
31098,2015,"pobreza_extrema",21.8
31099,2015,"pobreza_extrema",40.8
31100,2015,"pobreza_extrema",9.1
31101,2015,"pobreza_extrema",3.5
31102,2015,"pobreza_extrema",12.1
31103,2015,"pobreza_extrema",21.1
31104,2015,"pobreza_extrema",20.3
31105,2015,"pobreza_extrema",7
31106,2015,"pobreza_extrema",8.7
31001,2010,"vul_car_soc",43.1
31002,2010,"vul_car_soc",29.2
31003,2010,"vul_car_soc",10.8
31004,2010,"vul_car_soc",23.7
31005,2010,"vul_car_soc",49.6
31006,2010,"vul_car_soc",12.6
31007,2010,"vul_car_soc",17.1
31008,2010,"vul_car_soc",11.8
31009,2010,"vul_car_soc",18.1
31010,2010,"vul_car_soc",19.1
31011,2010,"vul_car_soc",16.5
31012,2010,"vul_car_soc",10.3
31013,2010,"vul_car_soc",34.3
31014,2010,"vul_car_soc",30
31015,2010,"vul_car_soc",24
31016,2010,"vul_car_soc",6.4
31017,2010,"vul_car_soc",15
31018,2010,"vul_car_soc",39.1
31019,2010,"vul_car_soc",14.1
31020,2010,"vul_car_soc",21.9
31021,2010,"vul_car_soc",6.2
31022,2010,"vul_car_soc",6.7
31023,2010,"vul_car_soc",22.7
31024,2010,"vul_car_soc",6.3
31025,2010,"vul_car_soc",6.4
31026,2010,"vul_car_soc",22
31027,2010,"vul_car_soc",22.5
31028,2010,"vul_car_soc",31.5
31029,2010,"vul_car_soc",18.7
31030,2010,"vul_car_soc",11.2
31031,2010,"vul_car_soc",23.4
31032,2010,"vul_car_soc",18.9
31033,2010,"vul_car_soc",25.3
31034,2010,"vul_car_soc",22.8
31035,2010,"vul_car_soc",19.9
31036,2010,"vul_car_soc",18.3
31037,2010,"vul_car_soc",18.5
31038,2010,"vul_car_soc",25.7
31039,2010,"vul_car_soc",25.1
31040,2010,"vul_car_soc",23.5
31041,2010,"vul_car_soc",25.7
31042,2010,"vul_car_soc",19.1
31043,2010,"vul_car_soc",17.6
31044,2010,"vul_car_soc",14.5
31045,2010,"vul_car_soc",42.3
31046,2010,"vul_car_soc",8.2
31047,2010,"vul_car_soc",12.1
31048,2010,"vul_car_soc",37.9
31049,2010,"vul_car_soc",7
31050,2010,"vul_car_soc",28.9
31051,2010,"vul_car_soc",39.1
31052,2010,"vul_car_soc",37.5
31053,2010,"vul_car_soc",19
31054,2010,"vul_car_soc",35.9
31055,2010,"vul_car_soc",17.8
31056,2010,"vul_car_soc",18.3
31057,2010,"vul_car_soc",15.9
31058,2010,"vul_car_soc",12.6
31059,2010,"vul_car_soc",30.5
31060,2010,"vul_car_soc",16.8
31061,2010,"vul_car_soc",29.3
31062,2010,"vul_car_soc",23.7
31063,2010,"vul_car_soc",36.4
31064,2010,"vul_car_soc",38.5
31065,2010,"vul_car_soc",32.6
31066,2010,"vul_car_soc",11
31067,2010,"vul_car_soc",25.1
31068,2010,"vul_car_soc",19.1
31069,2010,"vul_car_soc",21.6
31070,2010,"vul_car_soc",13.9
31071,2010,"vul_car_soc",28
31072,2010,"vul_car_soc",44.7
31073,2010,"vul_car_soc",4
31074,2010,"vul_car_soc",15.5
31075,2010,"vul_car_soc",9.7
31076,2010,"vul_car_soc",32.1
31077,2010,"vul_car_soc",12.6
31078,2010,"vul_car_soc",21.1
31079,2010,"vul_car_soc",18.8
31080,2010,"vul_car_soc",19.4
31081,2010,"vul_car_soc",6.4
31082,2010,"vul_car_soc",18.1
31083,2010,"vul_car_soc",44.6
31084,2010,"vul_car_soc",14.6
31085,2010,"vul_car_soc",15.9
31086,2010,"vul_car_soc",43.5
31087,2010,"vul_car_soc",21.8
31088,2010,"vul_car_soc",37.1
31089,2010,"vul_car_soc",28.2
31090,2010,"vul_car_soc",33.7
31091,2010,"vul_car_soc",35.7
31092,2010,"vul_car_soc",6
31093,2010,"vul_car_soc",38.2
31094,2010,"vul_car_soc",16.9
31095,2010,"vul_car_soc",35.9
31096,2010,"vul_car_soc",20.6
31097,2010,"vul_car_soc",11
31098,2010,"vul_car_soc",11.9
31099,2010,"vul_car_soc",7.2
31100,2010,"vul_car_soc",30.7
31101,2010,"vul_car_soc",31.2
31102,2010,"vul_car_soc",24
31103,2010,"vul_car_soc",18.3
31104,2010,"vul_car_soc",27.4
31105,2010,"vul_car_soc",21.1
31106,2010,"vul_car_soc",45.3
31001,2015,"vul_car_soc",43.7
31002,2015,"vul_car_soc",39.2
31003,2015,"vul_car_soc",29.7
31004,2015,"vul_car_soc",23
31005,2015,"vul_car_soc",55.3
31006,2015,"vul_car_soc",18.1
31007,2015,"vul_car_soc",20.8
31008,2015,"vul_car_soc",9.1
